Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
1,1382,534,292,420,753,814,922,804,661,523,665,926,966,758,778,759,2428,10
2,630,293,142,249,300,361,395,358,310,231,304,369,365,283,288,267,868,
3,338,218,87,103,125,158,201,180,155,123,135,154,133,103,117,91,332,2
4,246,204,99,92,81,106,174,166,132,107,126,112,84,68,74,71,149,
5,191,218,110,92,103,119,191,171,165,97,105,112,93,65,54,55,152,3
6,218,330,185,147,84,128,213,180,138,94,97,106,79,58,54,52,130,2
7,252,363,224,149,93,165,231,230,190,106,112,83,89,57,51,47,122,1
8,261,426,248,188,106,167,225,243,192,120,103,91,48,45,41,42,107,1
9,304,460,269,206,147,153,305,245,223,107,89,69,72,44,40,37,95,1
10,361,596,354,232,148,175,266,275,227,125,105,86,69,53,43,38,113,5
11,452,779,453,243,141,194,294,302,231,126,86,65,53,43,30,41,74,2
12,451,808,518,310,155,208,320,331,263,148,85,65,48,40,35,37,66,3
13,397,597,330,203,106,149,243,249,174,115,65,45,48,31,24,16,59,3
14,259,372,171,97,55,89,144,169,140,60,37,37,32,16,16,13,45,1
15,208,220,89,67,60,99,133,145,99,55,30,26,25,19,16,15,46,1
16,176,139,82,56,42,75,99,98,71,37,40,29,29,16,9,14,36,
17,109,120,58,61,39,46,62,75,51,27,18,23,17,14,11,10,26,
18,78,117,48,51,19,33,46,36,36,21,13,20,12,10,5,7,28,
19,79,97,57,33,14,32,45,39,34,14,12,17,12,9,7,8,19,1
20,30,60,36,14,10,10,25,22,19,12,5,9,11,7,4,4,13,
21,42,28,25,5,4,10,26,24,18,5,5,5,5,14,15,4,15,
22,22,20,15,8,3,6,13,13,9,8,3,5,3,4,3,5,16,
23,15,13,13,3,2,7,5,7,10,5,4,2,4,4,10,5,14,
24,15,5,3,7,2,7,9,4,8,6,3,3,4,3,4,5,5,
25,11,5,3,2,2,5,7,6,5,3,7,4,4,3,2,3,7,1
26,10,1,4,2,2,4,5,2,4,1,1,6,3,3,3,1,12,
27,2,6,2,1,4,2,1,2,6,2,2,2,5,3,,1,4,
28,5,1,1,2,,1,7,2,1,1,,4,6,,2,2,7,
29,1,2,1,2,2,4,4,1,3,1,5,5,2,4,1,,5,
30,6,2,1,3,,,6,3,2,2,3,3,1,,,3,10,
31,3,,1,5,,1,1,2,5,1,3,5,3,3,3,,4,
32,7,2,2,4,6,4,6,3,5,1,2,3,1,1,4,1,9,
33,5,5,5,3,4,4,3,2,3,5,5,1,3,2,2,2,4,
34,7,1,,6,11,6,5,6,6,3,6,7,2,3,2,3,9,
35,5,4,1,3,8,8,6,5,2,3,1,4,1,1,1,5,5,
36,5,2,3,12,3,5,6,6,7,4,4,7,5,4,6,5,6,
37,10,7,1,7,5,2,6,3,8,5,7,6,10,3,3,5,9,
38,10,3,1,11,5,9,11,6,4,2,5,10,3,6,4,4,10,
39,6,2,3,5,6,5,9,4,4,2,4,11,10,2,14,7,7,
40,9,4,3,,9,5,12,4,4,6,6,10,6,12,9,3,15,
41,20,9,7,3,6,13,9,4,13,6,7,14,12,15,8,9,21,
42,12,15,11,5,3,13,8,17,12,11,16,16,13,9,10,5,12,1
43,24,20,12,8,6,9,12,15,13,12,18,13,11,13,16,10,17,
44,23,18,5,3,6,7,9,16,13,6,17,17,26,10,15,11,28,
45,42,35,10,14,8,15,13,19,12,15,32,24,18,16,13,13,32,
46,49,35,13,18,10,14,22,27,24,18,17,37,26,8,15,19,30,
47,80,54,23,14,13,15,25,32,33,36,24,19,26,19,26,18,30,
48,131,89,43,22,24,26,42,36,40,32,30,32,41,23,19,28,52,30
49,230,196,69,48,41,62,98,100,87,64,74,104,81,40,49,46,116,
50,559,546,185,120,94,114,187,218,197,177,194,212,178,139,112,105,246,2
51,973,796,271,199,138,160,255,289,330,247,284,326,277,191,199,167,359,7
52,729,429,111,83,111,134,192,232,231,182,246,316,292,233,251,233,582,